	neg	pos
internet-lik	0.0	1.0
non-supermodel	0.0	1.0
arachnid-lik	0.0	1.0
thirst	0.0	1.0
spooferi	0.0	1.0
sci-fi/action/comedi	0.0	1.0
yasmeen	0.0	1.0
bleeth	0.0	1.0
to-die-for	0.0	1.0
world-reknown	0.0	1.0
overdramatic	0.0	1.0
auriol	0.0	1.0
keeli	0.0	1.0
kiffer	0.0	1.0
finzi	0.0	1.0
morissey	0.0	1.0
semi-star-mak	0.0	1.0
barenboim	0.0	1.0
overcloud	0.0	1.0
melodramt	0.0	1.0
semi-smiliar	0.0	1.0
step-for-step	0.0	1.0
rainman	0.0	1.0
not-totally-great	0.0	1.0
fight/rocki	0.0	1.0
trains/rocki	0.0	1.0
thunderlip	0.0	1.0
trash-talk	0.0	1.0
smocki	0.0	1.0
entertan	0.0	1.0
adriann	0.0	1.0
pikser	0.0	1.0
lemon	0.0	1.0
sell-out	0.0	1.0
wind-bag	0.0	1.0
clintonesq	0.0	1.0
compton	0.0	1.0
malt	0.0	1.0
half-truth-tel	0.0	1.0
spin-doctor	0.0	1.0
treason	0.0	1.0
grim-look	0.0	1.0
boyz'n'hood	0.0	1.0
liabil	0.0	1.0
rhythmless	0.0	1.0
doggi	0.0	1.0
dogg	0.0	1.0
lingo	0.0	1.0
tip-to	0.0	1.0
hannon	0.0	1.0
selflearn	0.0	1.0
concis	0.0	1.0
computer-simul	0.0	1.0
petrucelli	0.0	1.0
klose	0.0	1.0
about'th	0.0	1.0
city'-fan	0.0	1.0
reconnaiss	0.0	1.0
super-secret	0.0	1.0
wino	0.0	1.0
earth-lik	0.0	1.0
a-bomb	0.0	1.0
readout	0.0	1.0
decision--irv	0.0	1.0
novel--but	0.0	1.0
boy--cal	0.0	1.0
version--who	0.0	1.0
falsetto	0.0	1.0
enzym	0.0	1.0
morquio	0.0	1.0
function--smith	0.0	1.0
characters--in	0.0	1.0
obsequi	0.0	1.0
however--th	0.0	1.0
gravestown	0.0	1.0
and--oh	0.0	1.0
yes--lov	0.0	1.0
1975	0.0	1.0
not-so-happily-marri	0.0	1.0
rossellini	0.0	1.0
coogan	0.0	1.0
moonstruck	0.0	1.0
heart-tug	0.0	1.0
open-and-shut	0.0	1.0
esquir	0.0	1.0
parfitt	0.0	1.0
donovan--it	0.0	1.0
muth	0.0	1.0
beristain	0.0	1.0
wonderful--i	0.0	1.0
ice-blu	0.0	1.0
scotia	0.0	1.0
shots--and	0.0	1.0
axe-wield	0.0	1.0
romanticized-hemingway	0.0	1.0
academia	0.0	1.0
mandat	0.0	1.0
fussi	0.0	1.0
uplifit	0.0	1.0
thacker	0.0	1.0
bookshop	0.0	1.0
honey-soak	0.0	1.0
