	neg	pos
damp	2.0	0.0
gurgl	2.0	0.0
drainag	2.0	0.0
restauranteur	2.0	0.0
d'abo	2.0	0.0
toolbox	2.0	0.0
mgm/ua	2.0	0.0
salva	2.0	0.0
beaman	2.0	0.0
d	2.0	0.0
dehuman	2.0	0.0
fluentli	2.0	0.0
undiscov	2.0	0.0
lillianna	2.0	0.0
coddl	2.0	0.0
rko	2.0	0.0
puppetri	2.0	0.0
ritter	2.0	0.0
rocqu	2.0	0.0
woman-abus	2.0	0.0
devious	2.0	0.0
overextens	2.0	0.0
jobeth	2.0	0.0
northmen	2.0	0.0
mandrak	2.0	0.0
turteltaub	2.0	0.0
karma	2.0	0.0
i-2	2.0	0.0
fish-	2.0	0.0
sevill	2.0	0.0
muffl	2.0	0.0
biotech	2.0	0.0
critic-proof	2.0	0.0
gase	2.0	0.0
ballard	2.0	0.0
silly-look	2.0	0.0
stillborn	2.0	0.0
bergl	2.0	0.0
institution	2.0	0.0
moreu	2.0	0.0
menstruat	2.0	0.0
stakeout	2.0	0.0
anthropolog	2.0	0.0
reprogram	2.0	0.0
dip	2.0	0.0
alcatraz	2.0	0.0
parenthood	2.0	0.0
miley	2.0	0.0
hingl	2.0	0.0
batarang	2.0	0.0
wilma	2.0	0.0
yojimbo	2.0	0.0
lawman	2.0	0.0
hefner	2.0	0.0
everton	2.0	0.0
julio	2.0	0.0
mechoso	2.0	0.0
augustus	2.0	0.0
half-machin	2.0	0.0
tomaso	2.0	0.0
countdown	2.0	0.0
occult	2.0	0.0
disclosur	2.0	0.0
halperin	2.0	0.0
sillier	2.0	0.0
villa	2.0	0.0
lent	2.0	0.0
whatnot	2.0	0.0
forthcom	2.0	0.0
smatter	2.0	0.0
de-glam	2.0	0.0
saxophon	2.0	0.0
lavatori	2.0	0.0
nightlif	2.0	0.0
phone-sex	2.0	0.0
un-funniest	2.0	0.0
superglu	2.0	0.0
terra-form	2.0	0.0
whitlow	2.0	0.0
regroup	2.0	0.0
hijink	2.0	0.0
deviant	2.0	0.0
teresa	2.0	0.0
morneau	2.0	0.0
raiden	2.0	0.0
borg	2.0	0.0
bluth	2.0	0.0
jose	2.0	0.0
theater-go	2.0	0.0
prerequisit	2.0	0.0
indecipher	2.0	0.0
raccoon	2.0	0.0
_urban	2.0	0.0
legend_	2.0	0.0
herzfeld	2.0	0.0
geezer	2.0	0.0
wetsuit	2.0	0.0
petey	2.0	0.0
nickola	2.0	0.0
legless	2.0	0.0
xing	2.0	0.0
cro-magnon	2.0	0.0
prehistori	2.0	0.0
abdomen	2.0	0.0
attenu	2.0	0.0
cerrano	2.0	0.0
tanaka	2.0	0.0
pakula	2.0	0.0
mufti	2.0	0.0
allergi	2.0	0.0
seagu	2.0	0.0
sinyor	2.0	0.0
schlocki	2.0	0.0
wayland	2.0	0.0
paratroop	2.0	0.0
foothold	2.0	0.0
straightest	2.0	0.0
ablaz	2.0	0.0
objectifi	2.0	0.0
im	2.0	0.0
doesnt	2.0	0.0
fancey	2.0	0.0
strapp	2.0	0.0
daley	2.0	0.0
flasher	2.0	0.0
rector	2.0	0.0
harriett	2.0	0.0
double-entendr	2.0	0.0
suce	2.0	0.0
second-	2.0	0.0
uninsight	2.0	0.0
aa	2.0	0.0
slimebal	2.0	0.0
refund	2.0	0.0
gojira	2.0	0.0
timmond	2.0	0.0
polynesian	2.0	0.0
landslid	2.0	0.0
gauntlet	2.0	0.0
sip	2.0	0.0
assant	2.0	0.0
velda	2.0	0.0
kalecki	2.0	0.0
elat	2.0	0.0
chortl	2.0	0.0
cleophus	2.0	0.0
downshift	2.0	0.0
nuff	2.0	0.0
baio	2.0	0.0
cinergi	2.0	0.0
syrup	2.0	0.0
delani	2.0	0.0
bungalow	2.0	0.0
u-bar	2.0	0.0
zaillian	2.0	0.0
schlictmann	2.0	0.0
mind-fuck	2.0	0.0
memento	2.0	0.0
sagemil	2.0	0.0
u-haul	2.0	0.0
stunt-work	2.0	0.0
undemand	2.0	0.0
dodger	2.0	0.0
traver	2.0	0.0
1800s	2.0	0.0
macgowan	2.0	0.0
christen	2.0	0.0
cleanup	2.0	0.0
nympho	2.0	0.0
liquid	2.0	0.0
gangster-flick	2.0	0.0
insubordin	2.0	0.0
breadwinn	2.0	0.0
glimcher	2.0	0.0
slaughterhous	2.0	0.0
stein	2.0	0.0
flaus	2.0	0.0
elmaloglou	2.0	0.0
melbourn	2.0	0.0
perdi	2.0	0.0
kasalivich	2.0	0.0
hydrogen	2.0	0.0
nicotin	2.0	0.0
cherot	2.0	0.0
smit	2.0	0.0
-ridden	2.0	0.0
yuelin	2.0	0.0
bakker	2.0	0.0
c-note	2.0	0.0
rosebudd	2.0	0.0
knockin	2.0	0.0
`demon	2.0	0.0
jackman	2.0	0.0
anti-terrorist	2.0	0.0
capitalis	2.0	0.0
twelve-year-old	2.0	0.0
stansfield	2.0	0.0
cellar	2.0	0.0
white-fac	2.0	0.0
neverland	2.0	0.0
unplug	2.0	0.0
copout	2.0	0.0
nntphub	2.0	0.0
ecl@mtcts1	2.0	0.0
first-tier	2.0	0.0
glen/glenda	2.0	0.0
hiroshi	2.0	0.0
murata	2.0	0.0
ishmael	2.0	0.0
fukienes	2.0	0.0
goddard	2.0	0.0
_dead_man_on_campus_	2.0	0.0
dorm	2.0	0.0
_dead_man_	2.0	0.0
tinam	2.0	0.0
hartman	2.0	0.0
homey	2.0	0.0
cornel	2.0	0.0
siouxsi	2.0	0.0
bloodlin	2.0	0.0
tinto	2.0	0.0
schellenberg	2.0	0.0
berger	2.0	0.0
margerith	2.0	0.0
marcelo	2.0	0.0
eyro	2.0	0.0
houser	2.0	0.0
gold-digg	2.0	0.0
albertson	2.0	0.0
lachman	2.0	0.0
spicer	2.0	0.0
amiel	2.0	0.0
posterior	2.0	0.0
mare	2.0	0.0
jetpack	2.0	0.0
honk	2.0	0.0
sylvi	2.0	0.0
bauchau	2.0	0.0
mayo	2.0	0.0
cuff	2.0	0.0
in-person	2.0	0.0
magma	2.0	0.0
zak	2.0	0.0
orth	2.0	0.0
crenna	2.0	0.0
